murdock_name,land_area,atlantic_number15,atlantic_number16,atlantic_number17,atlantic_number18,indian_number15,indian_number16,indian_number17,indian_number18,atlantic_all_years,indian_all_years
HAMAR,42804.28721895425,0,0,0,0,0,0,0,0,0,0
HAMYAN,109327.8037741435,0,0,0,0,0,0,0,0,0,0
HARARI,2617.948486442064,0,0,0,0,0,0,0,0,0,0
HASANIA,12447.6683802629,0,0,0,0,0,0,0,0,0,0
HAUSA,134902.3545302901,0,0,106241,24307,0,0,0,0,130548,0
HAWIYA,110700.7958417262,0,0,0,0,0,0,0,0,0,0
HAYA,13708.15433500284,0,0,0,0,0,0,0,0,0,0
HEHE,33651.6288081005,0,0,0,0,941,470,1010,1580,0,4001
HEIKUM,60903.49749032147,0,0,0,0,0,0,0,0,0,0
HEMAT,43430.35911680274,0,0,0,0,0,0,0,0,0,0
HERERO,268671.8232263768,0,0,0,0,0,0,0,0,0,0
HIECHWARE,95816.4148952089,0,0,0,0,0,0,0,0,0,0
HLENGWE,131671.7235612555,0,0,0,0,0,0,0,0,0,0
HOLO,11802.32997527928,0,0,0,197,0,0,0,0,197,0
HOLOHOLO,7937.038571720463,0,0,0,0,61,31,66,103,0,261
HUNDE,18283.6130434182,0,0,0,0,0,0,0,0,0,0
HURUTSHE,36090.67546465627,0,0,0,0,0,0,0,0,0,0
IBIBIO,8321.927162333075,0,0,27638,21170,0,0,0,0,48808,0
IBO,35883.77754557318,16,39141,253253,108752,0,0,0,0,401162,0
IDIO,1357.115640945036,0,0,0,0,0,0,0,0,0,0
IDOMA,8039.785703534521,0,0,0,0,0,0,0,0,0,0
IFE,5414.013457930613,0,0,0,36,0,0,0,0,36,0
IFORA,90489.11096002147,0,0,0,0,0,0,0,0,0,0
IGALA,9880.509485359808,0,0,0,0,0,0,0,0,0,0
IGBIRA,6377.0543143539,0,0,0,631,0,0,0,0,631,0
IJAW,15705.42171439194,41,1243,20582,5572,0,0,0,0,27438,0
IJEBU,7417.975803114942,0,0,0,0,0,0,0,0,0,0
IKASA,4915.528858310794,0,0,0,0,0,0,0,0,0,0
ILA,28946.32048165659,0,0,0,0,0,0,0,0,0,0
IMRAGEN,44287.27231310361,0,0,0,0,0,0,0,0,0,0
INGASSANA,7308.190773313389,0,0,0,0,0,0,0,0,0,0
IRAMBA,9766.594123437791,0,0,0,0,0,0,0,0,0,0
IRAQW,9635.404014880025,0,0,0,0,0,0,0,0,0,0
ISHAAK,117806.9513625704,0,0,0,0,0,0,0,0,0,0
ISOKO,4750.684924802004,41,0,196,108,0,0,0,0,345,0
ITSEKIRI,4417.567649805997,0,0,0,0,0,0,0,0,0,0
ITTU,35799.38559042598,0,0,0,0,3,2,3,5,0,13
IWA,13112.32148360566,0,0,0,0,0,0,0,0,0,0
IYALA,3041.441173380343,0,0,0,18,0,0,0,0,18,0
JALO,15383.27775321393,0,0,0,0,0,0,0,0,0,0
JANJERO,4094.036727989906,0,0,0,0,0,0,0,0,0,0
JARAWA,5891.560003388304,0,0,0,18,0,0,0,0,18,0
JEBALA,16726.98108807165,0,0,0,0,0,0,0,0,0,0
JEN,1475.876888608266,0,0,0,72,0,0,0,0,72,0
"JERAWA, CHAWAI (SW)",2752.613182250765,0,0,196,0,0,0,0,0,196,0
JERBA,515.6112442975052,0,0,0,0,0,0,0,0,0,0
JERID,14842.52945013962,0,0,0,0,0,0,0,0,0,0
JIBU,4561.606915576252,0,0,0,0,0,0,0,0,0,0
JIE,10853.6531155617,0,0,0,0,0,0,0,0,0,0
JOFRA,54759.019788763,0,0,0,0,0,0,0,0,0,0
JUKUN,22423.23350597367,0,0,0,162,0,0,0,0,162,0
JUR,8155.4196849827,0,0,0,0,0,0,0,0,0,0
KABABISH,209995.9397654046,0,0,0,0,0,0,0,0,0,0
KABRE,5798.27788613657,0,0,0,406,0,0,0,0,406,0
KABYLE,9897.435361956048,0,0,0,0,0,0,0,0,0,0
